module,role,elements,zeros,blocks,zero_blocks,block_tail_elements,channels,zero_channels,positions,zero_positions,zero_percent,zero_block_percent
backbone.stages.1.op_list.2.main.point_conv.conv,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.point_conv.norm,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.point_conv.norm,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.shortcut,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.shortcut,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.2.op_list.0.main.inverted_conv.conv,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.2.op_list.0.main.inverted_conv.conv,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.2.op_list.0.main.inverted_conv.act,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.2.op_list.0.main.inverted_conv.act,output,5017600,82778,313600,8,0,6400,0,19600,0,1.649752869897959,0.002551020408163265
backbone.stages.2.op_list.0.main.depth_conv.conv,input,5017600,82778,313600,8,0,6400,0,19600,0,1.649752869897959,0.002551020408163265
backbone.stages.2.op_list.0.main.depth_conv.conv,output,1254400,0,78400,0,0,6400,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0.main.depth_conv.act,input,1254400,0,78400,0,0,6400,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0.main.depth_conv.act,output,1254400,0,78400,0,0,6400,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0.main.point_conv.conv,input,1254400,0,78400,0,0,6400,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0.main.point_conv.conv,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0.main.point_conv.norm,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0.main.point_conv.norm,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.0,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.2.op_list.0,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.qkv.conv,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.qkv.conv,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.0,input,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.0,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.1,input,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.1,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.kernel_func,input,2508800,0,156800,0,0,800,0,156800,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.kernel_func,output,2508800,1286995,156800,26428,0,800,0,156800,119,51.29922672193877,16.854591836734695
backbone.stages.2.op_list.1.context_module.main,Q_after_ReLU,1254400,495065,78400,9651,0,,,,,39.46627869897959,12.309948979591837
backbone.stages.2.op_list.1.context_module.main,K_after_ReLU,1254400,791930,78400,16777,0,,,,,63.13217474489796,21.399234693877553
backbone.stages.2.op_list.1.context_module.main,V,1254400,0,78400,0,0,,,,,0.0,0.0
backbone.stages.2.op_list.1.context_module.main,VK_padded,108800,2142,6800,0,0,,,,,1.96875,0.0
backbone.stages.2.op_list.1.context_module.main.proj.conv,input,1254400,0,78400,0,0,6400,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.proj.conv,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.proj.norm,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main.proj.norm,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.main,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.shortcut,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module.shortcut,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.context_module,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.inverted_conv.conv,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.inverted_conv.conv,output,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.inverted_conv.act,input,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.inverted_conv.act,output,2508800,113067,156800,381,0,12800,2,4900,0,4.506816007653061,0.24298469387755103
backbone.stages.2.op_list.1.local_module.main.depth_conv.conv,input,2508800,113067,156800,381,0,12800,2,4900,0,4.506816007653061,0.24298469387755103
backbone.stages.2.op_list.1.local_module.main.depth_conv.conv,output,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.depth_conv.act,input,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.depth_conv.act,output,2508800,10,156800,0,0,12800,0,4900,0,0.0003985969387755102,0.0
backbone.stages.2.op_list.1.local_module.main.point_conv.conv,input,2508800,10,156800,0,0,12800,0,4900,0,0.0003985969387755102,0.0
backbone.stages.2.op_list.1.local_module.main.point_conv.conv,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.point_conv.norm,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.main.point_conv.norm,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.shortcut,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module.shortcut,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.1.local_module,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.qkv.conv,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.qkv.conv,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.aggreg.0.0,input,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.aggreg.0.0,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.aggreg.0.1,input,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.aggreg.0.1,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.kernel_func,input,2508800,0,156800,0,0,800,0,156800,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.kernel_func,output,2508800,1268498,156800,12498,0,800,0,156800,42,50.561941964285715,7.970663265306122
backbone.stages.2.op_list.2.context_module.main,Q_after_ReLU,1254400,584057,78400,5901,0,,,,,46.560666454081634,7.526785714285714
backbone.stages.2.op_list.2.context_module.main,K_after_ReLU,1254400,684441,78400,6597,0,,,,,54.5632174744898,8.41454081632653
backbone.stages.2.op_list.2.context_module.main,V,1254400,0,78400,0,0,,,,,0.0,0.0
backbone.stages.2.op_list.2.context_module.main,VK_padded,108800,1020,6800,0,0,,,,,0.9375,0.0
backbone.stages.2.op_list.2.context_module.main.proj.conv,input,1254400,0,78400,0,0,6400,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.proj.conv,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.proj.norm,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main.proj.norm,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.main,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.shortcut,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module.shortcut,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.context_module,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.inverted_conv.conv,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.inverted_conv.conv,output,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.inverted_conv.act,input,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.inverted_conv.act,output,2508800,154345,156800,242,0,12800,1,4900,0,6.152144451530612,0.15433673469387754
backbone.stages.2.op_list.2.local_module.main.depth_conv.conv,input,2508800,154345,156800,242,0,12800,1,4900,0,6.152144451530612,0.15433673469387754
backbone.stages.2.op_list.2.local_module.main.depth_conv.conv,output,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.depth_conv.act,input,2508800,0,156800,0,0,12800,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.depth_conv.act,output,2508800,12,156800,0,0,12800,0,4900,0,0.00047831632653061223,0.0
backbone.stages.2.op_list.2.local_module.main.point_conv.conv,input,2508800,12,156800,0,0,12800,0,4900,0,0.00047831632653061223,0.0
backbone.stages.2.op_list.2.local_module.main.point_conv.conv,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.point_conv.norm,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.main.point_conv.norm,output,627200,1,39200,0,0,3200,0,4900,0,0.00015943877551020407,0.0
backbone.stages.2.op_list.2.local_module.shortcut,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module.shortcut,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.2.local_module,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.qkv.conv,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.qkv.conv,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.aggreg.0.0,input,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.aggreg.0.0,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.aggreg.0.1,input,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.aggreg.0.1,output,1881600,0,117600,0,0,9600,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.kernel_func,input,2508800,0,156800,0,0,800,0,156800,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.kernel_func,output,2508800,1366950,156800,10430,0,800,0,156800,207,54.486208545918366,6.651785714285714
backbone.stages.2.op_list.3.context_module.main,Q_after_ReLU,1254400,636546,78400,4397,0,,,,,50.74505739795919,5.608418367346939
backbone.stages.2.op_list.3.context_module.main,K_after_ReLU,1254400,730404,78400,6033,0,,,,,58.22735969387755,7.69515306122449
backbone.stages.2.op_list.3.context_module.main,V,1254400,0,78400,0,0,,,,,0.0,0.0
backbone.stages.2.op_list.3.context_module.main,VK_padded,108800,136,6800,0,0,,,,,0.125,0.0
backbone.stages.2.op_list.3.context_module.main.proj.conv,input,1254400,144,78400,0,0,6400,0,4900,0,0.011479591836734694,0.0
backbone.stages.2.op_list.3.context_module.main.proj.conv,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.proj.norm,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main.proj.norm,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.main,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.shortcut,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module.shortcut,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module,input,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
backbone.stages.2.op_list.3.context_module,output,627200,0,39200,0,0,3200,0,4900,0,0.0,0.0
